
System 1568.75 (MHz) duration 30 (sec) CPU avg. 64.74%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  5    1902154526.0  799516729.0   2.38    2.78     2.78  
  6   11055055531.0  3027804251.0  3.65   13.26    13.26  
  7    511588723.0    97910234.0   5.23    0.68     0.68  
  8    5966035938.0  1696049116.0  3.52    7.68     7.68  
  9    1702829281.0  417711827.0   4.08    2.27     2.27  
  10   935346389.0   370578977.0   2.52    1.13     1.13  
  11   160293872.0    37418779.0   4.28    0.21     0.21  
  12   3748287735.0  1346109650.0  2.78    6.71     6.71  
  13   216168763.0    32725947.0   6.61    0.30     0.30  
  14   2711719085.0  970043402.0   2.80    3.28     3.28  
  15   1707990703.0  422327159.0   4.04    2.18     2.18  
System 1397.11 (MHz) duration 30 (sec) CPU avg. 282.42%
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   24798324385.0  9530853855.0  2.60   59.17    59.17  
  1   12685243658.0  7094469573.0  1.79   17.14    17.14  
  2   15451171958.0  5772235119.0  2.68   27.05    27.05  
  3   11365813265.0  6801336185.0  1.67   15.15    15.15  
  4   11753031660.0  4395799508.0  2.67   14.16    14.16  
  5   11462558311.0  6771331359.0  1.69   15.31    15.31  
  6   13047444247.0  4803157663.0  2.72   15.62    15.62  
  7    312937422.0    72546771.0   4.31    0.38     0.38  
