
System 2767.11 (MHz) duration 30 (sec) CPU avg. 112.70%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  7     6620749.0      1327254.0    4.99    0.01     0.01  
  8    9818602927.0  12163919739.0  0.81   12.69    12.69  
  9   12440552203.0  17824066736.0  0.70   17.13    17.13  
  10   4194284692.0   5130839322.0  0.82    5.42     5.42  
  11    14761956.0     3804914.0    3.88    0.02     0.02  
  12   8019697521.0   9402557877.0  0.85    9.63     9.63  
  13    12395120.0     3027951.0    4.09    0.03     0.03  
  14   5919987692.0   6838260808.0  0.87   13.09    13.09  
  15  13497929656.0  18123965402.0  0.74   21.17    21.17  
System 2555.86 (MHz) duration 30 (sec) CPU avg. 358.44%
 CPU      Cycles      Instructions  CPI   Avg (%)  Max (%) 
  0   18321668653.0  24435619932.0  0.75   23.89    23.89  
  1   27199792796.0  37095413583.0  0.73   53.68    53.68  
  2   10727441907.0  13325029052.0  0.81   12.91    12.91  
  3   24991369595.0  36548702733.0  0.68   39.34    39.34  
  4   14754355707.0  18969041122.0  0.78   17.58    17.58  
  5   25570339570.0  36636960679.0  0.70   68.86    68.86  
  6   15437673451.0  19091522496.0  0.81   22.45    22.45  
  7     2180120.0       698776.0    3.12    0.00     0.00  
  8   14630397113.0  18866650328.0  0.78   18.79    18.79  
  9   12904409713.0  18367017182.0  0.70   16.42    16.42  
  10  15904739587.0  19210144429.0  0.83   19.97    19.97  
  11    19921664.0     5303755.0    3.76    0.03     0.03  
  12  14159959963.0  18649311024.0  0.76   18.11    18.11  
  13    6491728.0      1415289.0    4.59    0.02     0.02  
  14  14916170433.0  19049653333.0  0.78   30.60    30.60  
  15  13274192078.0  18505312843.0  0.72   15.80    15.80  
System 2057.97 (MHz) duration 30 (sec) CPU avg. 370.44%
 CPU      Cycles      Instructions  CPI   Avg (%)  Max (%) 
  0   34737222759.0  48740308624.0  0.71   56.26    56.26  
  1   24738977059.0  36159705372.0  0.68   66.18    66.18  
  2   14815284569.0  17418404027.0  0.85   21.24    21.24  
  3   25204557758.0  36259552126.0  0.70   40.15    40.15  
  4   10615160029.0  12447787674.0  0.85   14.66    14.66  
  5   24815194498.0  36109296442.0  0.69   54.37    54.37  
  6    4642244278.0   5633606344.0  0.82    5.54     5.54  
  7     2272883.0       662122.0    3.43    0.00     0.00  
  8   27878944110.0  33829176009.0  0.82   35.52    35.52  
